ARK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection
cl010052755;"Andromaque évanouie dans les bras de ses femmes à la vue d'Hector traîné au char d'Achille";"Palmerini, Jean Baptiste ; France";"1800 / 1900  (XIXe siècle)";"INV 7083; L 3515";"Département des Peintures"
cl010052756;"Vaisselle sur une table";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 13; 975.1616";"Département des Peintures"
cl010052757;"Saint Vincent de Saragosse et saint Germain recevant les couronnes du martyre";"Vien, Joseph-Marie ; France";1755;"INV 8417; MR 2673";"Département des Peintures"
cl010052758;"La Charité Romaine";"Italie ; Reni, Guido";"1600 / 1700  (XVIIe siècle)";"INV 8708; MR 1582; 205";"Département des Peintures"
cl010052759;L'Assomption;"Lestang-Parade, Léon de ; France";1843;"INV 6217; LP 5505; 208";"Département des Peintures"
cl010052760;"Portrait de Louis XV en buste";"France ; Van Loo, Charles-André";"1700 / 1800  (XVIIIe siècle)";"INV 6288; B 2123; 172";"Département des Peintures"
cl010052761;"Famille de paysans dans un intérieur";"Gamelin, Jacques ; France";1779;"RF 1960 7; D.60.1.1";"Département des Peintures"
cl010052762;"Étude de dos pour Le Radeau de la Méduse";"France ; Géricault, Théodore";1819;"RF 580";"Département des Peintures"
cl010052765;"Jésus donnant les clefs à saint Pierre";"Ingres, Jean-Auguste-Dominique ; France";"1818 / 1842  (2e quart du XIXe siècle)";"RF 97";"Département des Peintures"
cl010052768;"Les Adieux du consul Boëtus à sa famille";"Schnetz, Jean Victor ; France";1827;"INV 7883; C 221 bis; RF 439";"Département des Peintures"
cl010052773;"Portrait de femme en buste";"Anonyme ; France ; Valade, Jean";"1700 / 1800  (XVIIIe siècle)";"INV 9961; LP 1717";"Département des Peintures"
cl010052774;"Procession sortant de la cathédrale de Saint-Étienne de Toulouse avec ostention des reliquaires";"Michel, Jean II ; France";1700;"RF 1955 3";"Département des Peintures"
cl010052776;"Jésus Christ apaisant la tempête";"Jugelet, Auguste ; France";1845;"INV 5510; LP 6337";"Département des Peintures"
cl010052777;"Hussards au combat (Combat de cavalerie)";"Le Paon, Jean-Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1959 26; D.60.8.1";"Département des Peintures"
cl010052778;"Hussards au combat";"Le Paon, Jean-Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1959 27";"Département des Peintures"
cl010052779;"Portrait de Louis XV";"France ; La Tour, Maurice-Quentin de";"1700 / 1800  (XVIIIe siècle)";"INV 9374; B 2138";"Département des Peintures"
cl010052781;"La Charette";"France ; Troy, Jean-François de";"1700 / 1800  (XVIIIe siècle)";"MI 1133";"Département des Peintures"
cl010052782;"La Croix du carrefour";"France ; Troy, Jean-François de";"1700 / 1800  (XVIIIe siècle)";"MI 1134";"Département des Peintures"
cl010052795;"Solon, législateur d'Athènes";"Blondel, Merry-Joseph ; France";1827;"INV 2642; C 215";"Département des Peintures"
cl010052797;"Paysage historique. La Reine Andouère précipitée dans un torrent par ordre de Frédégonde";"Boguet, Didier ; France";"1800 / 1900  (XIXe siècle)";"INV 2676; L 3653";"Département des Peintures"
cl010052799;"Napoléon Ier accorde à la princesse d'Hatzfeld la grâce de son mari";"Boisfremont, Charles Boulanger de ; France";1810;"INV 2684; MR 1208";"Département des Peintures"
cl010052808;"La Mort de Malvina";"France ; Franquelin, Jean-Augustin";"1800 / 1900  (XIXe siècle)";"INV 4634; L 3727";"Département des Peintures"
cl010052815;Prométhée;"Mauzaisse, Jean Baptiste ; France";"1800 / 1900  (XIXe siècle)";"INV 6554; L 3643";"Département des Peintures"
cl010052817;"Le Berger Phorbas présente Oedipe enfant à la reine de Corinthe";"France ; Meynier, Charles";"1800 / 1900  (XIXe siècle)";"INV 6618; L 3480";"Département des Peintures"
cl010052818;"Alphée et Aréthuse";"Lancrenon, Joseph Ferdinand ; France";1830;"INV 5593; LP 42";"Département des Peintures"
cl010052819;"Chasse aux léopards ou Chasse au tigre";"Lancret, Nicolas ; France";1736;"INV 5596; MR 1898";"Département des Peintures"
cl010052820;"Diane et Endymion";"Langlois, Jérôme Martin ; France";"1800 / 1900  (XIXe siècle)";"INV 5640; L 3784";"Département des Peintures"
cl010052831;"Henri IV rencontre Sully blessé à la suite de la bataille d'Ivry, d'après Les Mémoires de Sully";"Vincent, François-André ; France";1875;"INV 8456; MR 2685";"Département des Peintures"
cl010052833;"La Chasse au lion";"Troy, Jean-François de ; France";1735;"INV 8229; MR 1527";"Département des Peintures"
cl010052834;"Le Sommeil de la Vierge et de l'Enfant Jésus";France;"1700 / 1800  (XVIIIe siècle)";"INV 8230; B 599";"Département des Peintures"
cl010052835;"Le Martyre des sept frères Macchabées";"Anonyme ; France";"1400 / 1500  (XVe siècle)";"RF 1945 24";"Département des Peintures"
cl010052837;"Le Baptême dit aussi La Circoncision";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"RF 1947 7";"Département des Peintures"
cl010052843;"Saint Philippe baptisant l'eunuque de la reine d'Éthiopie sur le chemin de Jérusalem à Gaza";"Abel de Pujol, Alexandre-Denis ; France";1848;"INV 2192; LP 7456; P.Y. 129";"Département des Peintures"
cl010052844;"Athalie chassée du temple";"Coypel, Antoine ; France";"1600 / 1700  (XVIIe siècle)";"INV 3497; B 524";"Département des Peintures"
cl010052845;"Suzanne et les vieillards";"Coypel, Antoine ; France";"1600 / 1700  (XVIIe siècle)";"INV 3499; MR 1389";"Département des Peintures"
cl010052846;"L'Incrédulité de saint Thomas";"La Fosse, Charles de ; France";"1600 / 1700  (XVIIe siècle)";"INV 4531; MR 1704";"Département des Peintures"
cl010052847;"Portrait de femme dit autrefois Charlotte de Bavière";"France ; Rigaud, Hyacinthe";"1700 / 1800  (XVIIIe siècle)";"MI 1414";"Département des Peintures"
cl010052848;"Jeune garçon au bain";"Anonyme ; France";;"MI 1432";"Département des Peintures"
cl010052850;"Érigone, dit aussi Bacchante";"Berthélemy, Jean-Simon ; France ; Van Loo, Charles-André";"1750 / 1800  (2e moitié du XVIIIe siècle)";"RF 1955 21";"Département des Peintures"
cl010052851;"Le Voeu de Jephté";"Coypel, Antoine ; France";1697;"INV 3498; MR 1380";"Département des Peintures"
cl010052852;"Cour de ferme";"Lancret, Nicolas ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1384";"Département des Peintures"
cl010052853;"Pastorale, sujet tiré de l'Idylle d'Amyntas de Gessner";"Dubost, Antoine ; France";1804;"INV 4249; MR 1549; MJA 73";"Département des Peintures"
cl010052854;"Vue des environs de Volterra ; étude d'après nature, en Toscane";"Le Blanc, Alexandre ; France";1832;"INV 5742; LP 155";"Département des Peintures"
cl010052855;"L'Avare puni";"Menjaud, Alexandre ; France";1819;"INV 6610; L 3736";"Département des Peintures"
cl010052856;"La Nourrice. Esquisse.";"Poterlet, Henri Hippolyte ; France";"1800 / 1900  (XIXe siècle)";"MI 1403";"Département des Peintures"
cl010052857;"Portrait d'inconnu à mi-corps (époque d'Henri IV)";"Anonyme ; France";"1500 / 1600  (XVIe siècle)";"INV 9657; B 1999";"Département des Peintures"
cl010052858;"Paysage à la rivière";"Boissieu, Jean Jacques de ; France";"1750 / 1800  (2e moitié du XVIIIe siècle)";"INV 2693; L 3611";"Département des Peintures"
cl010052859;"Tête d'Italien";"Chassériau, Théodore ; France";"1840 / 1841  (XIXe siècle)";"RF 3867; 36-1";"Département des Peintures"
cl010052861;"Portrait en pied de Jean-Baptiste Collin, comte de Sussy, ministre du Commerce et des Manufactures";"France ; Riesener, Henri François";"avant 1834";"INV 4862; LP 1042; D 19";"Département des Peintures"
cl010052862;"Paysage avec pêcheurs";"Oudry, Jean-Baptiste ; France";1755;"INV 7054; MR 2246; inv. 54-12";"Département des Peintures"
cl010052863;"La Présentation au temple";"France ; Varin, Quentin";"1600 / 1700  (XVIIe siècle)";"RF 1951 2; Inv 52 1003";"Département des Peintures"
cl010052864;"Fleurs, fruits et singe";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"INV 8956; B 1466; 872.3";"Département des Peintures"
cl010052865;"Bertrand et Raton";"Decamps, Alexandre-Gabriel ; France";1847;"RF 1378";"Département des Peintures"
cl010052868;"Étude de jeune fille";"France ; Gigoux, Jean";"1800 / 1900  (XIXe siècle)";"RF 494";"Département des Peintures"
cl010052871;"Portrait de Louis XV à mi-corps";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6320; B 2103; R 189; C 32 D 104";"Département des Peintures"
cl010052872;"Le Christ en croix avec la Vierge, saint Jean et un donateur";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"RF 1993 13";"Département des Peintures"
cl010052873;"La Chasse au cerf";"Desportes, Alexandre-François ; France";1719;"INV 3901; MR 1462";"Département des Peintures"
cl010052874;"La Chasse au renard (ou aux renards ?)";"Desportes, Alexandre-François ; France";1719;"INV 20141";"Département des Peintures"
cl010052882;"Paysage avec Vénus et Adonis";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8805; MR 1134";"Département des Peintures"
cl010052891;"L'Adoration des bergers";"Chambellan, Victor Armand ; France";"1800 / 1900  (XIXe siècle)";"INV 3184; LP 6641";"Département des Peintures"
cl010052894;"Portrait de femme";"France ; Nattier, Jean-Marc";"1700 / 1800  (XVIIIe siècle)";"MI 1398; D 867 I I";"Département des Peintures"
cl010052895;"Portrait d'homme en buste";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"MI 1251";"Département des Peintures"
cl010052896;"Le Serment d'amour";"Fragonard, Jean-Honoré ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1377";"Département des Peintures"
cl010052899;"Portrait d'un écrivain";"France ; Rigaud, Hyacinthe";"1600 / 1700  (XVIIe siècle)";"MI 1387; D.1872.1.8";"Département des Peintures"
cl010052900;"Balaam sur son ânesse et l'ange. Paysage.";"Mauperché, Henri ; France";"1600 / 1700  (XVIIe siècle)";"INV 5361; MR 1854; D.1956.2.1";"Département des Peintures"
cl010052901;"Prédication fanatique en Orient dit aussi L'Ange El Mahdi venu du ciel et annonçant Mahomet";"Rigo, Michel ; France";1804;"INV 7591; MR 2413";"Département des Peintures"
cl010052903;"Vue de la cathédrale de Bourges";"Villeret, Francois Étienne ; France";"1800 / 1900  (XIXe siècle)";"RF 1953 28; D.1953.5.1";"Département des Peintures"
cl010052905;"Bacchus et Érigone";"Bouchot, François ; France";"1800 / 1900  (XIXe siècle)";"MI 1361; 3480";"Département des Peintures"
cl010052906;"Entrée de Henri IV à Paris le 22 mars 1594";"France ; Gérard, François";1830;"INV 4748; C 297; D 4748";"Département des Peintures"
cl010052908;"Les Chênes de Kertregonnec";"Ségé, Alexandre ; France";"1800 / 1900  (XIXe siècle)";"RF 555";"Département des Peintures"
cl010052909;"Les Ajoncs en fleurs. Côtes du Nord";"Ségé, Alexandre ; France";"1800 / 1900  (XIXe siècle)";"RF 556";"Département des Peintures"
cl010052912;"Vénus et Adonis";"Boucher, François ; France";"1700 / 1800  (XVIIIe siècle)";"INV 2732; B 429";"Département des Peintures"
cl010052914;"Portrait de jeune garçon";"Riesener, Henri François ; France";"1800 / 1900  (XIXe siècle)";"RF 1944 8; D.49.43";"Département des Peintures"
cl010052915;"L'Apothéose de Napoléon Ier";"Balze, Jean-Paul ; France";"après 1853";"RF 311; D.4383.1";"Département des Peintures"
cl010052916;"La Main chaude";"Boilly, Louis Léopold ; France";"1800 / 1900  (XIXe siècle)";"RF 2686; D.49.42.1";"Département des Peintures"
cl010052918;"Le Repos des chevaux";"Corot, Jean-Baptiste Camille ; France";"1800 / 1900  (XIXe siècle)";"RF 1590; PEINt-53";"Département des Peintures"
cl010052919;Paysage.;"Aligny, Théodore Caruelle d' ; France";"vers 1835";"RF 774; D.49.41";"Département des Peintures"
cl010052921;"La Digue de Raffègue aux environs de Meyrneis (Cévennes)";"Marandon de Montyel, Édouard ; France";"1800 / 1900  (XIXe siècle)";"INV 6430; LP 6340";"Département des Peintures"
cl010052922;"Portrait présumé de George Sand à cheval";"Luna, Charles de ; France";"1800 / 1900  (XIXe siècle)";"RF 1950 38; D.51.1.1";"Département des Peintures"
cl010052924;"Portrait de moine";"Vernet, Horace ; France";"1800 / 1850  (1e moitié du XIXe siècle)";"RF 1938 87; D.49.44";"Département des Peintures"
cl010052925;"Portrait du maréchal Henri-Gatien Bertrand (Châteauroux, 1773-1844). Étude.";"Vernet, Horace ; France";"1800 / 1850  (1e moitié du XIXe siècle)";"RF 1938 88; D.4384";"Département des Peintures"
cl010052926;Naufrage;"France ; Vernet, Claude-Joseph";"1700 / 1800  (XVIIIe siècle)";"RF 2335; D 380";"Département des Peintures"
cl010052927;"La Fille de Jaïre ressuscitée par le Christ";"Lelièvre, Charles Jean Baptiste ; France";"1800 / 1900  (XIXe siècle)";"INV 6174; LP 7446";"Département des Peintures"
cl010052928;"La Chasse au loup";"Desportes, Alexandre-François ; France";1702;"INV 3906; MR 1485; D.67.1.3";"Département des Peintures"
cl010052930;"Chien barbet faisant lever deux canards dans les roseaux";"Oudry, Jean-Baptiste ; France";1752;"INV 7033; MN 64; D.52.32.1";"Département des Peintures"
cl010052931;"Chien en arrêt sur une perdrix rouge";"Oudry, Jean-Baptiste ; France";1754;"INV 7035; B 1181; D.53.24.5";"Département des Peintures"
cl010052932;"Chasse au sanglier";"France ; Oudry, Jean-Baptiste";"1700 / 1800  (XVIIIe siècle)";"INV 7021; B 907; D.67.1.2";"Département des Peintures"
cl010052933;"Un Chalet";"Lapito, Louis Auguste ; France";1831;"INV 5653; LP 44";"Département des Peintures"
cl010052934;"Un groupe de danaïdes";"Mauzaisse, Jean Baptiste ; France";1819;"INV 6553; L 3642";"Département des Peintures"
cl010052935;"La Vision de saint Jérôme";"Sigalon, Xavier ; France";1829;"INV 7937; C 361";"Département des Peintures"
cl010052938;"Lise, chienne de la meute de Louis XIV";"Desportes, Alexandre-François ; France";1714;"INV 3910; B 578";"Département des Peintures"
cl010052939;"Folle et Mite, chiennes de Louis XIV";"Desportes, Alexandre-François ; France";"vers 1702";"INV 3909; MR 1463";"Département des Peintures"
cl010052940;"Diane et Blonde, chiennes de la meute de Louis XIV, chassant";"Desportes, Alexandre-François ; France";1702;"INV 3911; MR 1464";"Département des Peintures"
cl010052941;"Bonne, Nonne et Ponne, chiennes de la meute de Louis XIV, chassant";"Desportes, Alexandre-François ; France";1702;"INV 3912; MR 1472";"Département des Peintures"
cl010052942;"Tane, chienne de Louis XIV, arrêtant deux perdrix";"Desportes, Alexandre-François ; France";1702;"INV 3913; MR 1465";"Département des Peintures"
cl010052943;"Nonette, chienne de Louis XV";"Desportes, Alexandre-François ; France";1714;"INV 3914; MR 1466";"Département des Peintures"
cl010052944;"Zette, chienne de la meute de Louis XIV";"Desportes, Alexandre-François ; France";1714;"INV 3915; MR 1467";"Département des Peintures"
cl010052945;"Chienne et deux perdrix";"Desportes, Alexandre-François ; France";1726;"INV 3921; B 569";"Département des Peintures"
cl010052948;"Chiens, lévriers et lièvres";"Desportes, Alexandre-François ; France";1726;"INV 3933; B 568";"Département des Peintures"
cl010052949;"Deux chiens gardant du gibier";"Desportes, Alexandre-François ; France";1726;"INV 3934; MR 1501";"Département des Peintures"
cl010052950;"Sanglier arrêté par quatre chiens";"Desportes, Alexandre-François ; France";"1700 / 1701  (Début du XVIIIe siècle)";"INV 7030; B 590";"Département des Peintures"
cl010052951;"Chien poursuivant un loup";"Desportes, Alexandre-François ; France";"1700 / 1701  (XVIIIe siècle)";"INV 7031; B 595";"Département des Peintures"
cl010052952;"Le Départ pour la chasse. Environs de Fontainebleau";"Vernet, Antoine-Charles-Horace ; France";1824;"INV 8357; C 16";"Département des Peintures"
cl010052953;"Oiseaux de paradis";"Ballin, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"INV 4029; B 1197";"Département des Peintures"
cl010052954;"Nature morte au lapin et à la perdrix, dit aussi Le Retour de la chasse";"Chardin, Jean Baptiste Siméon ; France";"1727 / 1728  (2e quart du XVIIIe siècle)";"RF 1967 1";"Département des Peintures"
cl010052955;"Portrait en pied de Louis-Philippe";"France ; Gérard, François ; Noyal, Louis-Joseph";"1800 / 1850  (1e moitié du XIXe siècle)";"INV 4770 bis; LP 309";"Département des Peintures"
cl010052956;"Vue intérieure de l'église du couvent de San Benedetto, près Subiaco";"France ; Granet, François Marius";"1800 / 1900  (XIXe siècle)";"INV 5008 bis; L 3698";"Département des Peintures"
cl010052962;"Portrait en pied de Henri II, vers 1547";"Clouet, François ; France";1547;"RF 1960 5";"Département des Peintures"
cl010052965;"Paysage avec une tour en ruine";"Robert, Hubert ; France";"1700 / 1800  (XVIIIe siècle)";"INV 7656; MR 2425";"Département des Peintures"
cl010052966;"Portrait de madame Lesould";"Vigée-Le Brun, Louise-Élisabeth ; France";1780;"RF 2080";"Département des Peintures"
cl010052971;"Atala au tombeau";"Girodet de Roucy-Trioson, Anne-Louis ; France ; Pagnest, Amable Louis Claude";1813;"INV 4959; L 3613";"Département des Peintures"
cl010052973;"Tête d'homme âgé";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1379";"Département des Peintures"
cl010052975;"Bergère endormie ou Le berger indiscret";"Lancret, Nicolas ; France";"vers 1743";"INV 5602; D 1956-13-4; B 1298";"Département des Peintures"
cl010052976;"La Femme infidèle. Les Rémois.";"Lancret, Nicolas ; France";"1700 / 1800  (XVIIIe siècle)";"INV 5604; D1956-13-1; B 1390";"Département des Peintures"
cl010052977;"Les Lunettes";"Lancret, Nicolas ; France";"1700 / 1800  (XVIIIe siècle)";"INV 5605; B 1317; D 1956-13-2";"Département des Peintures"
cl010052978;"La Nymphe Aréthuse poursuivie par Alphée";"France ; Restout, Jean II";1720;"INV 7445; MR 2366; D 1952-8-1";"Département des Peintures"
cl010052979;"Portrait de Madame Neveu, fleuriste et marchande de fruits";"Vallet, Pierre Jean ; France";"1800 / 1900  (XIXe siècle)";"RF 1960 57; D 61 4 1";"Département des Peintures"
cl010052980;"La Bergère des Alpes";"Vernet, Claude-Joseph ; France";1761;"INV 8316; MR 2633; D 1956 8 1";"Département des Peintures"
cl010052982;"Portrait du peintre Rougeot, fondateur d'une Ecole de dessin en 1760 à Tours";"Anonyme ; France";"vers 1760";"RF 1957 13; D 1957-5-1";"Département des Peintures"
cl010052983;"Henri III poussant du pied le cadavre du duc de Guise";"Durupt, Charles ; France";1832;"INV 4333; LP 136";"Département des Peintures"
cl010052988;"Paysage avec le Repos pendant la fuite en Égypte";"France ; Patel, Pierre";1658;"RF 1985 70; D 1986-1-3";"Département des Peintures"
cl010052989;"Agar et l'Ange";"Peyron, Pierre ; France";1780;"RF 1985 71; D 1986-1-4";"Département des Peintures"
cl010052990;"Le Repos pendant la fuite en Égypte";"Restout, Jean II ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1985 72; D 1986-1-5";"Département des Peintures"
cl010052991;"Portrait du père Guyet de Chevigny (1622-1698)";"France ; Rigaud, Hyacinthe";"1600 / 1700  (XVIIe siècle)";"RF 1985 73; D 1985-1-6";"Département des Peintures"
cl010052992;"Le Songe de Joseph, esquisse";"Subleyras, Pierre ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1985 75; D 1986-1-8";"Département des Peintures"
cl010052993;"L'Adoration des rois mages, esquisse";"Subleyras, Pierre ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1985 74; D 1986-1-7";"Département des Peintures"
cl010052994;"Tobie faisant ensevelir les morts de sa tribu à Ninive, esquisse";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1985 69; D 1986-1-2";"Département des Peintures"
cl010052995;"Portrait d'homme assis";"Anonyme ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1985 77; D 1986-1-10";"Département des Peintures"
cl010052996;"Portrait de femme au piano forte";"Anonyme ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1985 78; D 1986-1-11";"Département des Peintures"
cl010052997;"Le Sacrifice de Manué, esquisse";"Van Loo, Charles-André ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1985 68; D 1986-1-1";"Département des Peintures"
cl010052998;"Le Dernier miracle de saint Augustin, esquisse";"Van Loo, Charles-André ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1985 76; D 1986-1-9";"Département des Peintures"
cl010053000;"Tête de femme italienne de profil";"Chassériau, Théodore ; France";1840;"RF 3868";"Département des Peintures"
cl010053001;"Macbeth apercevant les spectres des rois. Esquisse.";"Chassériau, Théodore ; France";1857;"RF 3919; P.Y. 4";"Département des Peintures"
cl010053002;"Neptune enlevant Amymone";"Coypel, Noël Nicolas ; France";1720;"INV 3522; MR 1366; P.Y. 128";"Département des Peintures"
cl010053003;"Portrait du docteur Gachet";"Detrez, Ambroise ; France";"1850 / 1852  (XIXe siècle)";"RF 1947 34; P.Y. 50";"Département des Peintures"
cl010053004;"Portrait de Godefroy de Bouillon, roi de Jérusalem, né vers 1060, mort en 1100";"Philippe, Auguste Thomas Pierre ; France";1841;"INV 7187; LP 4641";"Département des Peintures"
cl010053006;"Mars et Rhéa Sylvia";"Vleughels, Nicolas ; France";1724;"RF 1948 10; P.Y. 2";"Département des Peintures"
cl010053007;"Faustulus recueillant Romus et Remulus";"Vleughels, Nicolas ; France";1724;"RF 1948 11; P.Y. 3";"Département des Peintures"
cl010053008;"Saint Bernard et le duc d'Aquitaine";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"MI 1189; P.Y. 17";"Département des Peintures"
cl010053009;"Crépuscule (Nubie intérieure)";"Berchère, Narcisse ; France";"1800 / 1900  (XIXe siècle)";"RF 962";"Département des Peintures"
cl010053010;"Cheval bai, debout, de profil à droite. Étude.";"Chassériau, Théodore ; France";"1849 / 1856  (XIXe siècle)";"RF 3935; D.2321";"Département des Peintures"
cl010053013;"Le Christ au prétoire";"France ; Gosse, Nicolas";"1800 / 1900  (XIXe siècle)";"MI 147";"Département des Peintures"
cl010053014;"Deux Jeunes femmes debout dans un parc";"France ; Isabey, Eugène";"1800 / 1900  (XIXe siècle)";"RF 158";"Département des Peintures"
